FIPS,Admin2,Population,Death by 03/09/2023,deaths_by_pop
17187,Warren,16844,93,552.1253859
29143,New Madrid,17076,93,544.6240337
21079,Garrard,17666,93,526.4349598
51163,Rockbridge,22573,93,411.9966331
22121,West Baton Rouge,26465,93,351.4075194
36025,Delaware,44135,93,210.7171179
53037,Kittitas,47935,93,194.0127256
41003,Benton,93053,93,99.94304321
18131,Pulaski,12353,92,744.7583583
21155,Marion,19273,92,477.3517356
5019,Clark,22320,92,412.1863799
16075,Payette,23951,92,384.1175734
28039,George,24500,92,375.5102041
20051,Ellis,28553,92,322.207824
31001,Adams,31363,92,293.3392851
24011,Caroline,33406,92,275.3996288
17103,Lee,34096,92,269.8263726
13141,Hancock,8457,91,1076.03169
21147,McCreary,17231,91,528.117927
13133,Greene,18324,91,496.6164593
21097,Harrison,18886,91,481.8383988
22029,Concordia,19259,91,472.5063607
28153,Wayne,20183,91,450.8744983
5083,Logan,21466,91,423.9262089
48457,Tyler,21672,91,419.8966408
55029,Door,27668,91,328.8998121
27047,Freeborn,30281,91,300.5184769
18183,Whitley,33964,91,267.9307502
21171,Monroe,10650,90,845.0704225
12045,Gulf,13639,90,659.8724247
19079,Hamilton,14773,90,609.2195221
13271,Telfair,15860,90,567.4653216
5075,Lawrence,16406,90,548.5797879
47139,Polk,16832,90,534.6958175
1087,Macon,18068,90,498.1182201
37115,Madison,21755,90,413.6980005
31047,Dawson,23595,90,381.4367451
27015,Brown,25008,90,359.8848369
8083,Montezuma,26183,90,343.7344842
56033,Sheridan,30485,90,295.2271609
20061,Geary,31670,90,284.1806126
51149,Prince George,38353,90,234.6622168
47033,Crockett,14230,89,625.4392129
12029,Dixie,16826,89,528.943302
20099,Labette,19618,89,453.6650015
21027,Breckinridge,20477,89,434.6339796
19183,Washington,21965,89,405.1900751
51147,Prince Edward,22802,89,390.3166389
19017,Bremer,25062,89,355.1193041
1019,Cherokee,26196,89,339.7465262
31141,Platte,33470,89,265.9097699
19029,Cass,12836,88,685.5718292
40099,Murray,14073,88,625.310879
26011,Arenac,14883,88,591.2786401
40117,Pawnee,16376,88,537.3717636
47181,Wayne,16673,88,527.7994362
54047,McDowell,17624,88,499.3191103
19065,Fayette,19650,88,447.8371501
46035,Davison,19775,88,445.0063211
1099,Monroe,20733,88,424.4441229
46081,Lawrence,25844,88,340.5045659
35051,Sierra,10791,87,806.2274117
48445,Terry,12337,87,705.1957526
29067,Douglas,13185,87,659.8407281
29155,Pemiscot,15805,87,550.4587156
48161,Freestone,19717,87,441.2435969
31043,Dakota,20026,87,434.4352342
40153,Woodward,20211,87,430.4586611
18075,Jay,20436,87,425.7193188
51820,Waynesboro,22630,87,384.4454264
37175,Transylvania,34385,87,253.0173041
53017,Douglas,43429,87,200.3269705
51640,Galax,6347,86,1354.970852
13167,Johnson,9643,86,891.8386394
28061,Jasper,16383,86,524.9343832
16045,Gem,18112,86,474.8233216
47085,Humphreys,18582,86,462.8134754
45081,Saluda,20473,86,420.0654521
18153,Sullivan,20669,86,416.0820553
53003,Asotin,22582,86,380.8342928
38089,Stark,31489,86,273.1112452
31119,Madison,35099,86,245.0212257
51540,Charlottesville,47266,86,181.9489697
50011,Franklin,49402,86,174.082021
39111,Monroe,13654,85,622.5281969
22027,Claiborne,15670,85,542.4377792
22049,Jackson,15744,85,539.8882114
48165,Gaines,21492,85,395.4959985
26109,Menominee,22780,85,373.1343284
20191,Sumner,22836,85,372.2193029
35047,San Miguel,27277,85,311.6178465
55033,Dunn,45368,85,187.3567272
13235,Pulaski,11137,84,754.2426147
21109,Jackson,13329,84,630.2048166
28147,Walthall,14286,84,587.9882402
21045,Casey,16159,84,519.8341482
54091,Taylor,16695,84,503.1446541
5133,Sevier,17007,84,493.9142706
5043,Drew,18219,84,461.0571382
19087,Henry,19954,84,420.9682269
47173,Union,19972,84,420.5888244
19027,Carroll,20165,84,416.5633523
19105,Jones,20681,84,406.1699144
5029,Conway,20846,84,402.9550034
48015,Austin,30032,84,279.7016516
36031,Essex,36885,84,227.7348516
33019,Sullivan,43146,84,194.6878042
27169,Winona,50484,84,166.3893511
28097,Montgomery,9775,83,849.1048593
48093,Comanche,13635,83,608.7275394
13159,Jasper,14219,83,583.7260004
29059,Dallas,16878,83,491.7644271
13075,Cook,17270,83,480.6022003
55119,Taylor,20343,83,408.0027528
5057,Hempstead,21532,83,385.4727847
27093,Meeker,23222,83,357.4196882
21049,Clark,36263,83,228.8834349
27099,Mower,40062,83,207.1788727
13005,Bacon,11164,82,734.5037621
18009,Blackford,11758,82,697.3975166
39067,Harrison,15040,82,545.212766
18165,Vermillion,15498,82,529.1005291
5047,Franklin,17715,82,462.8845611
28131,Stone,18336,82,447.2076789
5003,Ashley,19657,82,417.1541944
27083,Lyon,25474,82,321.896836
19011,Benton,25645,82,319.7504387
47061,Grundy,13427,81,603.2620839
48455,Trinity,14651,81,552.8632858
19043,Clayton,17549,81,461.5647615
29053,Cooper,17709,81,457.3945451
17173,Shelby,21634,81,374.4106499
1085,Lowndes,9726,80,822.5375283
19007,Appanoose,12426,80,643.8113633
5137,Stone,12506,80,639.6929474
16079,Shoshone,12882,80,621.0215805
48059,Callahan,13943,80,573.7646131
45009,Bamberg,14066,80,568.747334
21123,Larue,14398,80,555.6327268
21127,Lawrence,15317,80,522.2954887
20133,Neosho,16007,80,499.7813457
22093,St. James,21096,80,379.2188093
17083,Jersey,21773,80,367.4275479
29119,McDonald,22837,80,350.3087096
48019,Bandera,23112,80,346.1405331
23027,Waldo,39715,80,201.435226
51683,Manassas,41085,80,194.718267
50023,Washington,58409,80,136.9651937
26001,Alcona,10405,79,759.2503604
28013,Calhoun,14361,79,550.1009679
48395,Robertson,17074,79,462.6918121
1067,Henry,17205,79,459.1688463
54065,Morgan,17884,79,441.7356296
24029,Kent,19422,79,406.755226
40001,Adair,22194,79,355.9520591
53049,Pacific,22471,79,351.5642384
1111,Randolph,22722,79,347.6806619
21005,Anderson,22747,79,347.2985449
21205,Rowan,24460,79,322.9762878
24039,Somerset,25616,79,308.4009994
41057,Tillamook,27036,79,292.2029886
45037,Edgefield,27260,79,289.8019076
51131,Northampton,11710,78,666.0973527
48063,Camp,13094,78,595.6926837
5065,Izard,13629,78,572.3090469
26053,Gogebic,13975,78,558.1395349
19059,Dickinson,17258,78,451.9643064
39125,Paulding,18672,78,417.7377892
37015,Bertie,18947,78,411.6746715
37079,Greene,21069,78,370.21216
45001,Abbeville,24527,78,318.0168794
55093,Pierce,42754,78,182.43907
37189,Watauga,56177,78,138.846859
48083,Coleman,8175,77,941.8960245
21169,Metcalfe,10071,77,764.5715421
22123,West Carroll,10830,77,710.9879963
30035,Glacier,13753,77,559.8778448
21119,Knott,14806,77,520.0594354
13161,Jeff Davis,15115,77,509.4277208
17159,Richland,15513,77,496.3578934
48389,Reeves,15976,77,481.9729594
54001,Barbour,16441,77,468.3413418
30041,Hill,16484,77,467.1196312
26019,Benzie,17766,77,433.4121355
41065,Wasco,26682,77,288.5840642
27147,Steele,36649,77,210.1012306
28155,Webster,9689,76,784.3946744
30085,Roosevelt,11004,76,690.6579426
29115,Linn,11920,76,637.5838926
1035,Conecuh,12067,76,629.8168559
48343,Morris,12388,76,613.4969325
17025,Clay,13184,76,576.4563107
13093,Dooly,13390,76,567.5877521
13251,Screven,13966,76,544.1787197
47015,Cannon,14678,76,517.7817141
5067,Jackson,16719,76,454.5726419
48035,Bosque,18685,76,406.743377
27091,Martin,19683,76,386.120002
26009,Antrim,23324,76,325.8446236
55057,Juneau,26687,76,284.7828531
27115,Pine,29579,76,256.9390446
27103,Nicollet,34274,76,221.7424287
33003,Carroll,48910,76,155.3874463
29079,Grundy,9850,75,761.4213198
19035,Cherokee,11235,75,667.5567423
22127,Winn,13904,75,539.4131185
48255,Karnes,15601,75,480.7384142
13211,Morgan,19276,75,389.0848724
19097,Jackson,19439,75,385.822316
35027,Lincoln,19572,75,383.2004905
54027,Hampshire,23175,75,323.6245955
55121,Trempealeau,29649,75,252.9596276
13289,Twiggs,8120,74,911.3300493
48131,Duval,11157,74,663.2607332
48387,Red River,12023,74,615.4869833
18111,Newton,13984,74,529.1762014
21069,Fleming,14581,74,507.509773
47153,Sequatchie,15026,74,492.4797019
40073,Kingfisher,15765,74,469.3942277
48003,Andrews,18705,74,395.6161454
21017,Bourbon,19788,74,373.9640186
18015,Carroll,20257,74,365.3058202
21081,Grant,25069,74,295.1852886
16039,Elmore,27511,74,268.9833158
48071,Chambers,43837,74,168.807172
13315,Wilcox,8635,73,845.3966416
47039,Decatur,11663,73,625.9110006
19141,O'Brien,13753,73,530.7932815
17127,Massac,13772,73,530.0609933
1075,Lamar,13805,73,528.7939152
42057,Fulton,14530,73,502.4088094
40023,Choctaw,14672,73,497.5463468
18123,Perry,19169,73,380.8232041
22007,Assumption,21891,73,333.470376
27153,Todd,24664,73,295.9779436
48399,Runnels,10264,72,701.4809041
21025,Breathitt,12630,72,570.0712589
22059,LaSalle,14892,72,483.4810637
1029,Cleburne,14910,72,482.8973843
48371,Pecos,15823,72,455.0338115
28129,Smith,15916,72,452.3749686
55047,Green Lake,18913,72,380.6905303
37149,Polk,20724,72,347.4232774
23029,Washington,31379,72,229.4528188
13283,Treutlen,6901,71,1028.836401
13273,Terrell,8531,71,832.2588208
35007,Colfax,11941,71,594.5900678
21229,Washington,12095,71,587.0194295
19197,Wright,12562,71,565.1966247
17053,Ford,12961,71,547.7972379
47161,Stewart,13715,71,517.6813708
28135,Tallahatchie,13809,71,514.1574336
51051,Dickenson,14318,71,495.8793128
26113,Missaukee,15118,71,469.6388411
55077,Marquette,15574,71,455.8880185
55113,Sawyer,16558,71,428.7957483
19083,Hardin,16846,71,421.4650362
19055,Delaware,17011,71,417.3769914
20087,Jefferson,19043,71,372.8404138
55061,Kewaunee,20434,71,347.4601155
16067,Minidoka,21039,71,337.4685109
20175,Seward,21428,71,331.3421691
29001,Adair,25343,71,280.1562562
23007,Franklin,30199,71,235.1071228
35037,Quay,8253,70,848.1764207
46125,Turner,8384,70,834.9236641
13109,Evans,10654,70,657.0302234
48507,Zavala,11840,70,591.2162162
28005,Amite,12297,70,569.2445312
5079,Lincoln,13024,70,537.4692875
12065,Jefferson,14246,70,491.3659975
17149,Pike,15561,70,449.8425551
17181,Union,16653,70,420.3446826
21203,Rockcastle,16695,70,419.2872117
48145,Falls,17297,70,404.6944557
26079,Kalkaska,18038,70,388.0696308
37199,Yancey,18069,70,387.4038408
55001,Adams,20220,70,346.1918892
27057,Hubbard,21491,70,325.7177423
41015,Curry,22925,70,305.3435115
20149,Pottawatomie,24383,70,287.0852643
26029,Charlevoix,26143,70,267.7580997
19015,Boone,26234,70,266.8293055
13165,Jenkins,8676,69,795.2973721
16021,Boundary,12245,69,563.4953042
47101,Lewis,12268,69,562.4388653
19067,Floyd,15642,69,441.1200614
5087,Madison,16576,69,416.2644788
18047,Franklin,22758,69,303.190087
21163,Meade,28572,69,241.4951701
16051,Jefferson,29871,69,230.9932711
5077,Lee,8857,68,767.7543186
19115,Louisa,11035,68,616.2211146
47087,Jackson,11786,68,576.9557102
29181,Ripley,13288,68,511.7399157
19005,Allamakee,13687,68,496.8218017
29121,Macon,15117,68,449.8247007
20139,Osage,15949,68,426.3590194
8003,Alamosa,16233,68,418.8997721
48051,Burleson,18443,68,368.7035732
48089,Colorado,21493,68,316.3820779
16053,Jerome,24412,68,278.551532
46093,Meade,28332,68,240.0112946
38105,Williams,37589,68,180.9039879
50027,Windsor,55062,68,123.4971487
13319,Wilkinson,8954,67,748.2689301
5097,Montgomery,8986,67,745.6042733
21139,Livingston,9194,67,728.7361323
20131,Nemaha,10231,67,654.8724465
40063,Hughes,13279,67,504.556066
17125,Mason,13359,67,501.534546
27159,Wadena,13682,67,489.6944891
5141,Van Buren,16545,67,404.9561801
32013,Humboldt,16831,67,398.0749807
21215,Spencer,19351,67,346.2353367
19019,Buchanan,21175,67,316.4108619
26089,Leelanau,21761,67,307.8902624
8119,Teller,25388,67,263.9042067
51145,Powhatan,29652,67,225.9544044
46011,Brookings,35077,67,191.0083531
29153,Ozark,9174,66,719.4244604
56003,Big Horn,11790,66,559.7964377
28111,Perry,11973,66,551.2402907
40107,Okfuskee,11993,66,550.3210206
54089,Summers,12573,66,524.9343832
26141,Presque Isle,12592,66,524.1423126
21033,Caldwell,12747,66,517.7688868
37041,Chowan,13943,66,473.3558058
29003,Andrew,17712,66,372.6287263
19021,Buena Vista,19620,66,336.3914373
27105,Nobles,21629,66,305.145869
6035,Lassen,30573,66,215.876754
13287,Turner,7985,65,814.0262993
47083,Houston,8201,65,792.58627
12067,Lafayette,8422,65,771.7881738
5017,Chicot,10118,65,642.4194505
13099,Early,10190,65,637.8802748
22065,Madison,10951,65,593.5531002
20001,Allen,12369,65,525.5073167
29133,Mississippi,13180,65,493.1714719
56015,Goshen,13211,65,492.0142306
13049,Charlton,13392,65,485.3643967
13221,Oglethorpe,15259,65,425.9781113
27001,Aitkin,15886,65,409.1653028
5053,Grant,18265,65,355.8718861
29163,Pike,18302,65,355.1524424
19157,Poweshiek,18504,65,351.2753999
51079,Greene,19819,65,327.9681114
55045,Green,36960,65,175.8658009
1037,Coosa,10663,64,600.2063209
13079,Crawford,12404,64,515.9625927
51007,Amelia,13145,64,486.8771396
5061,Howard,13202,64,484.7750341
48351,Newton,13595,64,470.7613093
12047,Hamilton,14428,64,443.581924
20011,Bourbon,14534,64,440.3467731
41001,Baker,16124,64,396.9238402
46005,Beadle,18453,64,346.8270742
18147,Spencer,20277,64,315.6285447
46135,Yankton,22814,64,280.5294994
51075,Goochland,23753,64,269.4396497
30087,Rosebud,8937,63,704.9345418
22025,Catahoula,9494,63,663.576996
29139,Montgomery,11551,63,545.407324
28161,Yalobusha,12108,63,520.3171457
47121,Meigs,12422,63,507.1647078
40035,Craig,14142,63,445.4815443
21225,Union,14381,63,438.0780196
45017,Calhoun,14553,63,432.9004329
48239,Jackson,14760,63,426.8292683
47007,Bledsoe,15064,63,418.2156134
18013,Brown,15092,63,417.4397032
48287,Lee,17239,63,365.4504322
46065,Hughes,17526,63,359.4659363
6027,Inyo,18039,63,349.2433062
19101,Jefferson,18295,63,344.3563815
17041,Douglas,19465,63,323.6578474
18129,Posey,25427,63,247.7681205
41007,Clatsop,40224,63,156.6229117
26013,Baraga,8209,62,755.2686076
21149,McLean,9207,62,673.4006734
48315,Marion,9854,62,629.1861173
13149,Heard,11923,62,520.0033549
21153,Magoffin,12161,62,509.8264945
48379,Rains,12514,62,495.4451015
46102,Oglala Lakota,14177,62,437.3280666
55107,Rusk,14178,62,437.297221
19023,Butler,14439,62,429.3926172
39115,Morgan,14508,62,427.3504274
51011,Appomattox,15911,62,389.6675256
27065,Kanabec,16337,62,379.5066414
51029,Buckingham,17148,62,361.5581992
31067,Gage,21513,62,288.1978339
26135,Oscoda,8241,61,740.2014319
16087,Washington,10194,61,598.3912105
30027,Fergus,11050,61,552.0361991
54023,Grant,11568,61,527.3167358
28077,Lawrence,12586,61,484.6655014
28041,Greene,13586,61,448.991609
27043,Faribault,13653,61,446.7882517
29039,Cedar,14349,61,425.1167329
39121,Noble,14424,61,422.9062673
16047,Gooding,15179,61,401.871006
35057,Torrance,15461,61,394.5411034
21103,Henry,16126,61,378.271115
29135,Moniteau,16132,61,378.130424
1129,Washington,16326,61,373.6371432
18139,Rush,16581,61,367.8909595
53039,Klickitat,22425,61,272.0178372
37033,Caswell,22604,61,269.8637409
47135,Perry,8076,60,742.9420505
30021,Dawson,8613,60,696.6213863
21131,Leslie,9877,60,607.4719044
19137,Montgomery,9917,60,605.0216799
40069,Johnston,11085,60,541.2719892
39163,Vinton,13085,60,458.5403133
51071,Giles,16720,60,358.8516746
17045,Edgar,17161,60,349.6299749
51193,Westmoreland,18015,60,333.0557868
21239,Woodford,26734,60,224.4333059
6015,Del Norte,27812,60,215.7342154
21129,Lee,7403,59,796.9741996
22081,Red River,8442,59,698.8865198
40075,Kiowa,8708,59,677.5378962
21055,Crittenden,8806,59,669.9977288
29085,Hickory,9544,59,618.1894384
28015,Carroll,9947,59,593.1436614
40149,Washita,10916,59,540.4910224
19165,Shelby,11454,59,515.1038938
29123,Madison,12088,59,488.0873594
48313,Madison,14284,59,413.0495659
27129,Renville,14548,59,405.554028
16049,Idaho,16667,59,353.9929201
19047,Crawford,16820,59,350.7728894
47027,Clay,7615,58,761.654629
13003,Atkinson,8165,58,710.3490508
8021,Conejos,8205,58,706.8860451
22021,Caldwell,9918,58,584.7953216
21053,Clinton,10218,58,567.6257585
12037,Franklin,12125,58,478.3505155
29223,Wayne,12873,58,450.5554261
21031,Butler,12879,58,450.3455237
40005,Atoka,13758,58,421.572903
56009,Converse,13822,58,419.6208942
21065,Estill,14106,58,411.1725507
27127,Redwood,15170,58,382.3335531
40139,Texas,19983,58,290.2467097
31155,Saunders,21578,58,268.7922884
16031,Cassia,24030,58,241.3649605
36049,Lewis,26296,58,220.5658655
6021,Glenn,28393,58,204.2757018
16065,Madison,39907,58,145.3379106
36033,Franklin,50022,58,115.9489824
51595,Emporia,5346,57,1066.217733
51620,Franklin City,7967,57,715.4512363
13197,Marion,8359,57,681.8997488
21077,Gallatin,8869,57,642.6880144
13209,Montgomery,9172,57,621.4566071
13155,Irwin,9416,57,605.3525913
46109,Roberts,10394,57,548.3933038
5011,Bradley,10763,57,529.5921212
28065,Jefferson Davis,11128,57,512.2214234
38071,Ramsey,11519,57,494.8346211
37187,Washington,11580,57,492.2279793
21061,Edmonson,12150,57,469.1358025
48505,Zapata,14179,57,402.0029621
17015,Carroll,14305,57,398.4620762
55103,Richland,17252,57,330.3964758
31159,Seward,17284,57,329.784772
51099,King George,26836,57,212.401252
16057,Latah,40108,57,142.116286
20205,Wilson,8525,56,656.8914956
55041,Forest,9004,56,621.9458019
19063,Emmet,9208,56,608.1668115
29011,Barton,11754,56,476.4335545
16073,Owyhee,11823,56,473.6530491
20115,Marion,11884,56,471.2218108
19175,Union,12241,56,457.4789641
51043,Clarke,14619,56,383.063137
19145,Page,15107,56,370.6890845
19191,Winneshiek,19991,56,280.1260567
8015,Chaffee,20356,56,275.1031637
48047,Brooks,7093,55,775.4123784
13317,Wilkes,9777,55,562.5447479
19107,Keokuk,10246,55,536.7948468
51119,Middlesex,10582,55,519.7505198
21041,Carroll,10631,55,517.3549055
19119,Lyon,11755,55,467.886006
27023,Chippewa,11800,55,466.1016949
18125,Pike,12389,55,443.9422068
1119,Sumter,12427,55,442.5846946
8081,Moffat,13283,55,414.0630882
17193,White,13537,55,406.2938613
56007,Carbon,14800,55,371.6216216
51063,Floyd,15749,55,349.2285224
46127,Union,15932,55,345.217173
31025,Cass,26248,55,209.5397745
27079,Le Sueur,28887,55,190.3970644
23013,Knox,39772,55,138.288243
5101,Newton,7753,54,696.5045789
1063,Greene,8111,54,665.7625447
54015,Clay,8508,54,634.696756
48369,Parmer,9605,54,562.2071838
1011,Bullock,10101,54,534.6005346
21159,Martin,11195,54,482.3581956
13193,Macon,12947,54,417.085039
17023,Clark,15441,54,349.7182825
19041,Clay,16016,54,337.1628372
19095,Iowa,16184,54,333.6628769
51025,Brunswick,16231,54,332.6966915
31177,Washington,20729,54,260.5046071
48057,Calhoun,21290,54,253.6402067
51065,Fluvanna,27270,54,198.019802
56001,Albany,38880,54,138.8888889
46051,Grant,7052,53,751.5598412
5129,Searcy,7881,53,672.5034894
13269,Taylor,8020,53,660.8478803
19133,Monona,8615,53,615.206036
26119,Montmorency,9328,53,568.1818182
48429,Stephens,9366,53,565.8765748
46121,Todd,10177,53,520.7821558
30017,Custer,11402,53,464.8307315
30089,Sanders,12113,53,437.5464377
21011,Bath,12500,53,424
37173,Swain,14271,53,371.382524
49037,San Juan,15308,53,346.2241965
50025,Windham,42222,53,125.5269765
19001,Adair,7152,52,727.0693512
19135,Monroe,7707,52,674.7113014
48335,Mitchell,8545,52,608.5430076
29137,Monroe,8644,52,601.5733457
28069,Kemper,9742,52,533.7712995
48127,Dimmit,10124,52,513.6309759
28103,Noxubee,10417,52,499.1840261
8099,Prowers,12172,52,427.2099901
21233,Webster,12942,52,401.7926132
29151,Osage,13615,52,381.931693
54087,Roane,13688,52,379.8947984
54031,Hardy,13776,52,377.4680604
54007,Braxton,13957,52,372.5729025
55129,Washburn,15720,52,330.7888041
18121,Parke,16937,52,307.0201334
51101,King William,17148,52,303.2423606
17067,Hancock,17708,52,293.6525864
37185,Warren,19731,52,263.5446759
19093,Ida,6860,51,743.4402332
56043,Washakie,7805,51,653.4272902
48307,McCulloch,7984,51,638.7775551
28009,Benton,8259,51,617.5081729
40011,Blaine,9429,51,540.8845052
20013,Brown,9564,51,533.2496863
20117,Marshall,9707,51,525.3940455
19131,Mitchell,10586,51,481.7683733
19081,Hancock,10630,51,479.7742239
21087,Green,10941,51,466.1365506
37043,Clay,11231,51,454.1002582
21197,Powell,12359,51,412.6547455
29063,DeKalb,12547,51,406.4716665
17139,Moultrie,14501,51,351.6998828
8071,Las Animas,14506,51,351.5786571
17131,Mercer,15437,51,330.3750729
22125,West Feliciana,15568,51,327.5950668
51750,Radford,18249,51,279.4673681
29157,Perry,19136,51,266.5133779
29147,Nodaway,22092,51,230.8527974
51600,Fairfax City,24019,51,212.3319039
51630,Fredericksburg,29036,51,175.6440281
8011,Bent,5577,50,896.5393581
55051,Iron,5687,50,879.1981713
48153,Floyd,5712,50,875.3501401
47175,Van Buren,5872,50,851.4986376
13243,Randolph,6778,50,737.6807318
48283,La Salle,7520,50,664.893617
20029,Cloud,8786,50,569.0871842
28021,Claiborne,8988,50,556.2972853
28143,Tunica,9632,50,519.10299
48357,Ochiltree,9836,50,508.3367222
19069,Franklin,10070,50,496.5243297
29093,Iron,10125,50,493.8271605
51037,Charlotte,11880,50,420.8754209
48475,Ward,11998,50,416.7361227
19075,Grundy,12232,50,408.763898
54063,Monroe,13275,50,376.6478343
21221,Trigg,14651,50,341.2736332
17033,Crawford,18667,50,267.8523598
15007,Kauai,72293,50,69.1629895
29045,Clark,6797,49,720.9062822
29057,Dade,7561,49,648.0624256
20027,Clay,8002,49,612.3469133
1105,Perry,8923,49,549.142665
37103,Jones,9419,49,520.225077
38055,McLean,9450,49,518.5185185
5127,Scott,10281,49,476.6073339
46019,Butte,10429,49,469.8437051
5109,Pike,10718,49,457.1748461
17061,Greene,12969,49,377.8240419
55007,Bayfield,15036,49,325.8845438
19031,Cedar,18627,49,263.0590004
22075,Plaquemines,23197,49,211.2342113
41027,Hood River,23382,49,209.5629116
50019,Orleans,27037,49,181.233125
51530,Buena Vista,6478,48,740.969435
48069,Castro,7530,48,637.4501992
28053,Humphreys,8064,48,595.2380952
20031,Coffey,8179,48,586.8688104
21223,Trimble,8471,48,566.6391217
29033,Carroll,8679,48,553.0591082
19189,Winnebago,10354,48,463.5889511
1131,Wilcox,10373,48,462.7398053
19077,Guthrie,10689,48,449.0597811
40127,Pushmataha,11096,48,432.5883201
40103,Noble,11131,48,431.2281017
51183,Sussex,11159,48,430.1460704
47169,Trousdale,11284,48,425.3810705
29017,Bollinger,12133,48,395.6152642
21219,Todd,12294,48,390.4343582
51113,Madison,13261,48,361.9636528
27135,Roseau,15165,48,316.5182987
40095,Marshall,16931,48,283.5036324
37011,Avery,17557,48,273.395227
8039,Elbert,26729,48,179.5802312
23023,Sagadahoc,35856,48,133.8688086
47095,Lake,7016,47,669.8973774
48405,San Augustine,8237,47,570.5960908
5099,Nevada,8252,47,569.5588948
28157,Wilkinson,8630,47,544.6118192
38003,Barnes,10415,47,451.2722036
8105,Rio Grande,11267,47,417.1474217
51133,Northumberland,12095,47,388.5903266
19129,Mills,15109,47,311.0728705
2050,Bethel,18386,47,255.6292832
48107,Crosby,5737,46,801.8127941
46041,Dewey,5892,46,780.7196198
13065,Clinch,6618,46,695.0740405
5117,Prairie,8062,46,570.5780203
40151,Woods,8793,46,523.1434095
40105,Nowata,10076,46,456.5303692
40085,Love,10253,46,448.6491759
48159,Franklin,10725,46,428.9044289
19121,Madison,16338,46,281.5522096
23021,Piscataquis,16785,46,274.0542151
27161,Waseca,18612,46,247.1523748
55053,Jackson,20643,46,222.8358281
17085,Jo Daviess,21235,46,216.6234989
26131,Ontonagon,5720,45,786.7132867
16009,Benewah,9298,45,483.9750484
29185,St. Clair,9397,45,478.8762371
51081,Greensville,11336,45,396.9654199
51111,Lunenburg,12196,45,368.9734339
55013,Burnett,15414,45,291.94239
17101,Lawrence,15678,45,287.0264064
20005,Atchison,16073,45,279.9726249
53001,Adams,19983,45,225.1914127
51127,New Kent,23091,45,194.8811225
46047,Fall River,6713,44,655.4446596
48111,Dallam,7287,44,603.815013
40093,Major,7629,44,576.7466247
56031,Platte,8393,44,524.2463958
19091,Humboldt,9558,44,460.347353
29111,Lewis,9776,44,450.0818331
48077,Clay,10471,44,420.2081941
5041,Desha,11361,44,387.2898512
27071,Koochiching,12229,44,359.8004743
17087,Johnson,12417,44,354.3529033
53051,Pend Oreille,13724,44,320.6062372
27113,Pennington,14119,44,311.6368015
13083,Dade,16116,44,273.0206006
36095,Schoharie,30999,44,141.9400626
23015,Lincoln,34634,44,127.0427903
40055,Greer,5712,43,752.8011204
47067,Hancock,6620,43,649.5468278
20167,Russell,6856,43,627.1878646
29041,Chariton,7426,43,579.0465931
29203,Shannon,8166,43,526.5735978
48501,Yoakum,8713,43,493.5154367
19039,Clarke,9395,43,457.6902608
45065,McCormick,9463,43,454.4013526
19161,Sac,9721,43,442.3413229
5105,Perry,10455,43,411.2864658
51057,Essex,10953,43,392.586506
27033,Cottonwood,11196,43,384.0657378
48297,Live Oak,12207,43,352.2569018
38079,Rolette,14176,43,303.3295711
21191,Pendleton,14590,43,294.7224126
37121,Mitchell,14964,43,287.3563218
55003,Ashland,15562,43,276.3140984
56041,Uinta,20226,43,212.5976466
36123,Yates,24913,43,172.6006503
19159,Ringgold,4894,42,858.1937066
48377,Presidio,6704,42,626.4916468
46009,Bon Homme,6901,42,608.6074482
41025,Harney,7393,42,568.1049642
30105,Valley,7396,42,567.8745268
5025,Cleveland,7956,42,527.9034691
29125,Maries,8697,42,482.9251466
29025,Caldwell,9020,42,465.631929
40077,Latimer,10073,42,416.9562196
51103,Lancaster,10603,42,396.1143073
26085,Lake,11853,42,354.3406732
40061,Haskell,12627,42,332.620575
55099,Price,13351,42,314.5831773
17039,De Witt,15638,42,268.5765443
6043,Mariposa,17203,42,244.1434633
29186,Ste. Genevieve,17894,42,234.7155471
31161,Sheridan,5246,41,781.547846
48305,Lynn,5951,41,688.9598387
46057,Hamlin,6164,41,665.1524984
47127,Moore,6488,41,631.9358816
8055,Huerfano,6897,41,594.46136
5039,Dallas,7009,41,584.9621915
21143,Lyon,8210,41,499.3909866
19147,Palo Alto,8886,41,461.399955
29149,Oregon,10529,41,389.4007028
18025,Crawford,10577,41,387.6335445
50005,Caledonia,29993,41,136.698563
46037,Day,5424,40,737.4631268
48207,Haskell,5658,40,706.9635914
48411,San Saba,6055,40,660.6110652
48391,Refugio,6948,40,575.7052389
28063,Jefferson,6990,40,572.2460658
20067,Grant,7150,40,559.4405594
28037,Franklin,7713,40,518.6049527
13181,Lincoln,7921,40,504.9867441
16035,Clearwater,8756,40,456.8296026
20151,Pratt,9164,40,436.4906155
4011,Greenlee,9498,40,421.1412929
17035,Cumberland,10766,40,371.5400334
26097,Mackinac,10799,40,370.4046671
21187,Owen,10901,40,366.938813
20085,Jackson,13171,40,303.6975173
51125,Nelson,14930,40,267.9169457
37053,Currituck,27763,40,144.0766488
38021,Dickey,4872,39,800.4926108
48333,Mills,4873,39,800.3283398
47137,Pickett,5048,39,772.5832013
17175,Stark,5342,39,730.0636466
20137,Norton,5361,39,727.4762171
46115,Spink,6376,39,611.6687578
